,English (en)
8672,opium
8673,opponent
8678,opposed
8683,oppress
8684,oppression
8685,oppressive
8686,oppressor
8710,orc
8720,ordnance
8746,orphan
8762,outburst
8763,outcast
8765,outcry
8782,outpost
8790,outsider
8830,overpowering
8839,overt
8842,overthrow
8850,owing
8880,pain
8881,pained
8882,painful
8906,palsy
8914,pandemic
8917,panic
8938,parachute
8939,parade
8949,paralysis
8950,paralyzed
8952,paranoia
8956,parasite
8962,pare
9105,penal
9106,penalty
9107,penance
9117,penetration
9142,perdition
9157,peril
9158,perilous
9166,perish
9169,perishing
9170,perjury
9183,pernicious
9186,perpetrator
9195,persecute
9196,persecution
9217,perturbation
9222,perverse
9226,pessimism
9227,pessimist
9228,pest
9229,pestilence
9239,phalanx
9240,phantom
9286,picket
9309,pillage
9323,pinion
9343,pitfall
9356,plague
9395,plea
9412,plight
9428,plummet
9431,plunder
9432,plunge
9438,pneumonia
9439,poaching
9455,poison
9456,poisoned
9458,poisonous
9465,police
9466,policeman
9468,polio
9535,posse
9537,possessed
9539,possession
9569,poverty
9574,powerful
9575,powerfully
9576,powerless
9591,pray
9597,precarious
9610,precipice
9622,predicament
9647,prejudiced
9653,premeditated
9707,prevent
9713,prey
9716,prick
9748,prison
9749,prisoner
9759,probation
9764,problem
9765,procedure
9807,prognosis
9816,prohibited
9820,projectile
9821,projectiles
9884,prosecute
9906,protestant
9933,prowl
9952,psychosis
9978,puma
9981,punch
9989,punish
9990,punished
9991,punishing
9992,punishment
9993,punitive
10006,purgatory
10007,purge
10048,quail
10050,quake
10056,quandary
10062,quarantine
10073,quash
10100,quiver
10101,quivering
10109,rabble
10110,rabid
10123,radiation
10126,radioactive
10133,radon
10138,raging
10140,raid
10159,rampage
10167,ransom
10170,rape
10176,raptors
10180,rascal
10182,rat
10187,rating
10196,rattlesnake
10200,ravenous
10201,ravine
10202,raving
10205,razor
10207,react
10241,rebel
10242,rebellion
10262,recesses
10263,recession
10274,reckless
10275,recklessness
10376,refutation
10388,regiment
10409,regulatory
10429,reject
10431,rejection
10432,rejects
10438,rekindle
10439,relapse
10467,reluctant
10470,remains
10494,remove
10526,repellant
10527,repellent
10529,repent
10552,repression
10556,reprisal
10566,repulsion
10581,resection
10599,resign
10607,resistant
10608,resisting
10649,restrain
10650,restrained
10654,restriction
10667,retaliation
10669,retard
10673,reticent
10676,retirement
10683,retrenchment
10684,retribution
10699,revenge
10720,revoke
10722,revolting
10723,revolution
10727,revolver
10728,revulsion
10732,rheumatism
10756,rifle
10766,rigor
10775,riot
10776,riotous
10784,risk
10785,risky
10803,rob
10804,robber
10805,robbery
10814,rod
10823,romance
10842,rot
10876,rubble
10888,ruin
10889,ruined
10890,ruinous
10892,rule
10907,rupture
10917,ruthless
10919,saber
10921,sabotage
10926,sacrifices
10935,sag
10964,samurai
10986,sarcoma
11008,savage
11009,savagery
11022,scaffold
11028,scalpel
11031,scandal
11035,scapegoat
11036,scar
11038,scarce
11040,scarcity
11041,scare
11042,scarecrow
11058,schizophrenia
11077,scold
11085,scorpion
11087,scoundrel
11089,scourge
11095,scrapie
11098,scream
11099,screaming
11100,screech
11141,seclusion
11153,sectarian
11183,seize
11184,seizure
11204,senile
11210,senseless
11219,sentence
11232,sepsis
11247,seriousness
11249,serpent
11257,servile
11269,settlor
11287,shackle
11293,shady
11299,shaking
11300,shaky
11304,shame
11307,shanghai
11308,shank
11319,shatter
11335,shell
11355,shipwreck
11359,shiver
11362,shock
11367,shoot
11368,shooter
11369,shooting
11377,shortage
11385,shot
11396,shrapnel
11399,shriek
11400,shrill
11403,shrink
11410,shudder
11421,sickening
11424,sickness
11470,sin
11473,sinful
11481,sinister
11483,sinner
11490,siren
11516,skid
11539,slam
11549,slaughter
11550,slaughterhouse
11551,slaughtering
11552,slave
11553,slavery
11555,slayer
11608,sly
11613,smash
11623,smite
11636,smuggle
11637,smuggler
11639,smut
11645,snake
11648,snare
11652,sneak
11654,sneaking
11686,socialism
11687,socialist
11738,sorcery
11739,sordid
11745,sorrow
11749,sortie
11752,soulless
11753,soulmate
11770,spank
11779,spasm
11785,spear
11803,specter
11810,speculation
11832,spider
11834,spike
11843,spinster
11876,spook
11898,sprite
11901,spur
11908,squall
11915,squeamish
11924,stab
11945,stalk
11956,standoff
11971,startle
11973,starvation
12004,steal
12005,stealing
12008,stealthy
12043,stifled
12045,stigma
12049,stillness
12054,sting
12056,stingy
12059,stint
12090,stormy
12102,straits
12105,stranger
12106,strangle
12130,stretcher
12141,stripped
12144,stroke
12150,struggle
12168,stunned
12195,subjugation
12203,subordinate
12238,subversion
12240,subvert
12261,sufferer
12262,suffering
12268,suffocating
12269,suffocation
12274,suicidal
12275,suicide
12282,sultan
12303,sunk
12327,superstition
12328,superstitious
12348,suppress
12349,suppression
12350,supremacy
12359,surgery
12365,surprise
12369,surrender
12375,surveillance
12384,suspect
12389,suspense
12390,suspension
12391,suspicion
12401,swamp
12403,swampy
12408,swastika
12412,sweat
12426,swelling
12428,swerve
12432,swim
12454,sympathetic
12463,syncope
12469,synonymous
12475,syringe
12487,taboo
12498,tactics
12521,talons
12559,taunt
12571,tearful
12574,teasing
12603,tempest
12639,terminal
12649,terrible
12655,terror
12656,terrorism
12657,terrorist
12658,terrorize
12681,theft
12686,theocratic
12710,thief
12721,thirteenth
12726,thorny
12735,thrash
12737,threat
12738,threaten
12739,threatening
12741,thresh
12746,thrill
12750,throb
12759,thug
12762,thumping
12765,thundering
12801,timid
12802,timidity
12862,toothache
12875,torment
12877,tornado
12879,torrent
12887,torture
12899,toughness
12909,towering
12914,toxin
12921,tract
12932,tragedy
12940,traitor
12943,tramp
12995,traumatic
13001,travesty
13005,treacherous
13006,treachery
13009,treason
13013,treat
13022,trembling
13025,tremor
13030,trepidation
13036,tribulation
13037,tribunal
13042,trickery
13069,troll
13078,troublesome
13115,tumor
13116,tumour
13117,tumult
13118,tumultuous
13129,turbulence
13130,turbulent
13133,turmoil
13164,typhoon
13168,tyrannical
13169,tyranny
13170,tyrant
13174,ugliness
13176,ulcer
13180,ultimatum
13223,unbridled
13225,uncanny
13227,uncertain
13257,undecided
13283,undesirable
13302,uneasy
13304,unemployed
13307,unequal
13313,unexpected
13330,unfriendly
13339,unhealthy
13341,unholy
13377,unjustifiable
13379,unkind
13381,unknown
13382,unlawful
13390,unlucky
13400,unnatural
13443,unrest
13446,unruly
13447,unsafe
13457,unsettled
13460,unspeakable
13462,unstable
13463,unsteady
13468,unsurpassed
13476,unthinkable
13510,upheaval
13511,uphill
13518,uprising
13529,urgency
13530,urgent
13540,usurped
13566,validity
13573,vampire
13579,vanished
13588,varicella
13604,veer
13611,vehement
13623,vendetta
13629,vengeful
13631,venom
13632,venomous
13649,verdict
13650,verge
13656,vermin
13671,vertigo
13696,victim
13697,victimized
13707,vigilant
13715,villain
13716,villainous
13725,violation
13726,violence
13727,violent
13728,violently
13732,viper
13741,virulence
13775,volatility
13777,volcano
13785,volunteer
13805,vulnerability
13807,vulture
13816,wail
13831,wan
13839,war
13842,warden
13844,ware
13846,warfare
13847,warlike
13848,warlock
13850,warn
13851,warned
13852,warning
13860,warrior
13862,wary
13870,wasting
13871,watch
13882,waver
13891,weakly
13920,weight
13923,weighty
13926,weirdo
13951,whimper
13957,whirlpool
13958,whirlwind
13976,wicked
13993,wilderness
13994,wildfire
14001,wimp
14002,wimpy
14003,wince
14029,witch
14030,witchcraft
14036,withstand
14041,woe
14081,worry
14082,worrying
14083,worse
14085,worship
14090,wound
14092,wrangling
14096,wrath
14099,wreck
14100,wrecked
14123,wrongly
14126,xenophobia
14147,yell
14150,yelp
14164,youth
