,English (en)
3185,death
3190,debenture
3257,defense
3306,delight
3307,delighted
3308,delightful
3315,deliverance
3316,delivery
3358,denying
3360,depart
3364,depend
3382,depraved
3419,deserve
3445,destination
3446,destined
3460,detainee
3473,determinate
3488,develop
3495,devil
3506,devout
3512,diagnosis
3535,dictatorship
3542,dietary
3561,digress
3591,diplomacy
3669,discreet
3672,discretion
3721,dismay
3752,disposed
3804,distracting
3843,divination
3899,doomsday
3920,dove
3931,draft
3949,dread
3950,dreadful
4007,duel
4036,dutiful
4052,eager
4053,eagerness
4092,ecstasy
4093,ecstatic
4100,edification
4103,edition
4121,efficient
4133,ejaculation
4156,elegance
4163,elevation
4171,elite
4189,emancipation
4207,embrace
4254,enchant
4256,enchanting
4274,endanger
4276,endeavor
4297,engaged
4310,engulf
4315,enjoy
4316,enjoying
4328,enroll
4344,entertaining
4345,entertainment
4346,enthusiasm
4347,enthusiast
4373,epidemic
4416,erotic
4418,errand
4431,escape
4490,eventual
4491,eventuality
4511,exalt
4520,excavation
4522,exceed
4524,excel
4538,excitation
4539,excite
4540,excited
4541,excitement
4542,exciting
4569,exhaustion
4576,exigent
4594,expect
4595,expectancy
4596,expectant
4597,expectation
4598,expected
4599,expecting
4603,expedition
4613,experiment
4629,explore
4632,explosive
4637,expose
4678,extricate
4713,failing
4715,fain
4721,faith
4741,familiarity
4750,fancy
4752,fanfare
4762,farm
4780,fate
4792,favorable
4803,feat
4818,feeling
4839,ferment
4840,fermentation
4849,festival
4852,fete
4875,fiesta
4903,finally
4932,firstborn
4947,fitting
5004,flinch
5008,flirt
5082,football
5099,forearm
5100,foreboding
5101,forecast
5116,foresee
5117,foreseen
5118,foresight
5121,forewarned
5146,forming
5166,fortune
5197,frantic
5228,friendly
5238,frisky
5272,fulfillment
5280,fun
5315,gain
5333,gambler
5334,gambling
5405,generosity
5426,germ
5430,germination
5439,gift
5462,glad
5478,glide
5479,glimmer
5489,glorify
5490,glory
5495,glow
5512,god
5527,good
5530,goodness
5562,gradual
5564,graduation
5569,grandchildren
5576,grant
5586,grasping
5602,gravitate
5634,grim
5637,grin
5669,grow
5698,guillotine
5735,habitual
5780,hankering
5781,hap
5783,happen
5786,happiness
5787,happy
5790,harbinger
5816,harvest
5819,haste
5851,headlight
5859,healing
5886,heavenly
5899,heft
5950,hero
5955,heroism
5963,heyday
5975,highest
5994,hire
6021,holiday
6022,holiness
6027,homeless
6048,honeymoon
6062,hope
6063,hopeful
6070,horizon
6076,horoscope
6128,humanitarian
6151,hungry
6155,hunter
6156,hunting
6160,hurried
6161,hurry
6185,hymn
6186,hype
6195,hypothesis
6242,illuminate
6265,immature
6266,immaturity
6270,immediately
6273,immerse
6277,imminent
6281,immortality
6297,impatient
6304,impending
6332,importance
6354,improve
6359,improvise
6387,inaugural
6389,inauguration
6414,incite
6427,income
6469,independence
6534,infant
6535,infanticide
6559,infinity
6603,inheritance
6643,inoculation
6651,inquiry
6678,inspiration
6679,inspire
6682,install
6700,instructions
6702,instructor
6734,intended
6763,interim
6770,interminable
6771,intermission
6802,intimate
6803,intimately
6817,intrigue
6830,intuitively
6852,investigation
6859,invitation
6860,invite
6861,inviting
6862,invocation
6864,invoke
6926,jackpot
6954,jeopardy
6987,journey
6998,judicial
6999,judiciary
7067,kindred
7075,kiss
7105,labor
7111,labyrinth
7126,lagging
7178,latent
7191,laughter
7192,launch
7272,leisure
7293,lessen
7296,lesson
7301,letter
7302,lettered
7322,liberate
7323,liberation
7324,liberty
7376,linger
7414,litigate
7441,localize
7470,long
7472,longing
7478,loom
7501,lottery
7510,lovely
7512,lover
7523,luck
7528,lull
7549,luscious
7551,lust
7585,magical
7593,magnificence
7594,magnificent
7601,mail
7606,majestic
7703,marriage
7706,marry
7737,matchmaker
7748,maternal
7754,matrimony
7788,medal
7796,mediate
7798,mediator
7799,medical
7805,meditate
7859,merge
7923,midwife
7940,mill
7978,miracle
8038,mobile
8084,momentum
8090,monetary
8091,money
8126,morals
8133,morn
8140,morrow
8148,mortification
8157,mother
8159,motion
8172,mountain
8233,musical
8244,mutable
8258,mysterious
8259,mystery
8292,nascent
8313,navigable
8316,navigator
8350,neighbor
8351,neighborhood
8359,nervous
8369,network
8375,neutral
8408,nobility
8427,noncompliance
8459,notification
8499,nurture
8509,oasis
8525,objective
8530,obliging
8613,offset
8623,olfactory
8628,omen
8629,ominous
8642,ongoing
8644,onset
8661,opera
8673,opponent
8676,opportunity
8690,optimism
8700,oracle
8719,ordination
8723,organ
8727,organization
8730,orgasm
8766,outdo
8811,overdue
8842,overthrow
8843,overture
8850,owing
8868,paddle
8939,parade
8944,paragon
8949,paralysis
8962,pare
8978,parole
9011,passenger
9014,passion
9015,passionate
9040,patience
9041,patient
9066,pay
9071,peace
9073,peaceful
9145,perfect
9146,perfection
9157,peril
9158,perilous
9189,perpetuate
9191,perpetuity
9286,picket
9290,picnic
9361,plan
9368,planning
9390,playground
9395,plea
9396,pleasant
9412,plight
9429,plump
9459,poke
9536,possess
9541,possibility
9574,powerful
9583,practise
9588,praiseworthy
9591,pray
9597,precarious
9609,precious
9619,precursor
9624,predict
9626,prediction
9629,predilection
9630,predispose
9649,preliminary
9660,preparation
9661,preparatory
9662,prepare
9663,prepared
9664,preparedness
9668,prerequisite
9670,prescient
9675,present
9680,preservative
9702,pretty
9703,prevail
9709,prevention
9720,priesthood
9735,princely
9757,probability
9759,probation
9767,proceeding
9788,production
9798,proficiency
9807,prognosis
9808,prognostic
9812,progress
9813,progression
9828,prologue
9866,prophecy
9868,prophet
9869,prophetic
9870,prophylactic
9889,prospectively
9891,prosper
9913,proud
9921,providing
9941,pry
9956,public
9982,punctual
9990,punished
9995,punt
10000,puppy
10082,quest
10087,quicken
10106,quote
10110,rabid
10120,radiance
10134,raffle
10141,rail
10155,ram
10177,rapture
10202,raving
10213,readiness
10216,ready
10257,receiving
10267,recipient
10281,recognizable
10287,recombination
10292,reconciliation
10297,reconstruct
10298,reconstruction
10307,recreation
10308,recreational
10322,recurrent
10381,regatta
10404,regularity
10412,rehabilitation
10433,rejoice
10434,rejoicing
10438,rekindle
10477,remedy
10506,renovate
10508,renovation
10519,repay
10549,representing
10579,rescue
10622,respect
10639,responsive
10644,restlessness
10646,restorative
10656,result
10657,resultant
10676,retirement
10694,reunion
10699,revenge
10702,revere
10717,revival
10718,revive
10723,revolution
10729,reward
10739,ribbon
10779,ripen
10783,rising
10784,risk
10785,risky
10823,romance
10824,romantic
10854,roulette
10941,saint
10942,saintly
10945,salary
10950,saliva
10960,salvation
10967,sanctify
10971,sanctuary
11014,savor
11041,scare
11070,scientist
11082,score
11115,scrutinize
11156,secular
11171,seductive
11174,seek
11216,sensual
11217,sensuality
11219,sentence
11236,sequel
11242,serenity
11244,serial
11282,sex
11287,shackle
11300,shaky
11312,share
11315,sharpen
11350,shining
11352,ship
11359,shiver
11373,shopping
11382,shortly
11441,signify
11458,simmer
11459,simmering
11462,simplify
11474,sing
11513,skewed
11654,sneaking
11727,sonar
11738,sorcery
11756,soundness
11764,spa
11776,sparkle
11785,spear
11801,spectacular
11811,speculative
11848,spirits
11857,splendor
11961,star
11968,starry
11970,start
12008,stealthy
12030,sterling
12085,store
12111,strategist
12141,stripped
12142,strive
12202,submit
12207,subscribe
12242,succeed
12243,succeeding
12244,success
12245,successful
12296,sun
12298,sundial
12306,sunny
12308,sunset
12328,superstitious
12350,supremacy
12368,surprisingly
12372,surround
12389,suspense
12393,suspicious
12417,sweet
12421,sweetheart
12424,sweets
12432,swim
12457,symphony
12461,synchronize
12489,tabulate
12532,tantalizing
12572,tease
12603,tempest
12662,testament
12689,theology
12692,theory
12699,thermocouple
12718,thirst
12729,thought
12738,threaten
12746,thrill
12747,thrilling
12748,thriving
12773,tickle
12797,time
12802,timidity
12851,tomorrow
12865,top
12887,torture
12909,towering
12920,track
12951,transcendence
12969,transitional
13008,treadmill
13010,treasure
13013,treat
13018,tree
13025,tremor
13030,trepidation
13037,tribunal
13039,tributary
13067,triumph
13068,triumphant
13075,trophy
13155,twinkle
13178,ultimate
13179,ultimately
13192,unaccountable
13215,unbeaten
13223,unbridled
13248,uncontrollable
13257,undecided
13278,undertaking
13287,undisclosed
13294,undoubted
13298,undying
13301,uneasiness
13313,unexpected
13315,unexplained
13326,unfold
13331,unfulfilled
13343,unification
13375,university
13381,unknown
13427,unpublished
13442,unresolved
13468,unsurpassed
13481,untold
13493,unverified
13511,uphill
13515,uplift
13518,uprising
13529,urgency
13530,urgent
13548,utopian
13552,vacation
13626,venerable
13641,veracity
13650,verge
13701,victory
13705,vigil
13706,vigilance
13720,vindication
13734,virginity
13751,vision
13752,visionary
13756,visitor
13757,visor
13775,volatility
13785,volunteer
13788,voluptuous
13794,vote
13799,vow
13801,voyage
13819,wait
13850,warn
13851,warned
13871,watch
13918,weigh
13920,weight
13950,whim
13966,white
13993,wilderness
14015,winner
14016,winning
14017,winnings
14022,wireless
14026,wishful
14036,withstand
14040,wizard
14051,wont
14078,worm
14081,worry
14082,worrying
14085,worship
14144,yearning
14162,young
14164,youth
14167,zeal
14174,zest
